year,mid,high
2052,126000,130000
2051,129000,129000
2050,130000,127000
2049,130000,124000
2048,128000,121000
2047,126000,118000
2046,124000,114000
2045,121000,109000
2044,117000,104000
2043,113000,98000
2042,108000,94000
2041,103000,93000
2040,97000,97000
2039,93000,104000
2038,92000,111000
2037,96000,119000
2036,103000,129000
2035,111000,138000
2034,119000,151000
2033,128000,167000
2032,138000,182000
2031,151000,189000
2030,167000,194000
2029,181000,199000
2028,189000,206000
2027,194000,205000
2026,199000,204000
2025,207000,208000
2024,206000,212000
2023,204000,212000
